w,h,map_cells,civilians,fire_density,trials,solved,time_ms_median,time_p25,time_p75,nodes_median,nodes_p25,nodes_p75
8,8,64,1,0.05,5,5,0.18,0.16,0.21,11.0,10.0,13.0
8,8,64,1,0.1,5,5,0.16,0.15,0.16,10.0,10.0,10.0
8,8,64,1,0.15,5,5,0.18,0.15,0.19,12.0,10.0,13.0
8,8,64,2,0.05,5,5,0.18,0.16,0.27,10.0,10.0,17.0
8,8,64,2,0.1,5,5,0.18,0.17,0.36,10.0,10.0,21.0
8,8,64,2,0.15,5,5,0.26,0.25,0.31,17.0,17.0,19.0
8,8,64,3,0.05,5,5,0.66,0.18,0.68,38.0,11.0,43.0
8,8,64,3,0.1,5,5,0.2,0.19,0.29,12.0,11.0,18.0
8,8,64,3,0.15,5,5,0.79,0.2,2.5,53.0,12.0,161.0
8,8,64,4,0.05,5,5,8.68,7.84,11.86,516.0,480.0,712.0
8,8,64,4,0.1,5,5,1.1,0.22,2.04,73.0,14.0,128.0
8,8,64,4,0.15,5,5,0.69,0.63,1.5,44.0,42.0,95.0
10,10,100,1,0.05,5,5,0.22,0.21,0.23,14.0,14.0,15.0
10,10,100,1,0.1,5,5,0.23,0.21,0.24,14.0,14.0,17.0
10,10,100,1,0.15,5,5,0.28,0.23,0.45,19.0,14.0,27.0
10,10,100,2,0.05,5,5,0.23,0.23,0.24,14.0,14.0,15.0
10,10,100,2,0.1,5,5,0.7,0.43,4.28,44.0,28.0,285.0
10,10,100,2,0.15,5,5,0.34,0.3,1.74,20.0,18.0,111.0
10,10,100,3,0.05,5,5,0.8,0.36,1.91,53.0,23.0,123.0
10,10,100,3,0.1,5,5,0.73,0.55,1.07,45.0,32.0,65.0
10,10,100,3,0.15,5,5,1.1,0.31,1.25,65.0,17.0,76.0
10,10,100,4,0.05,5,5,0.81,0.63,0.94,50.0,39.0,59.0
10,10,100,4,0.1,5,5,0.42,0.35,16.69,26.0,21.0,1007.0
10,10,100,4,0.15,5,5,1.9,1.39,2.28,113.0,85.0,135.0
12,10,120,1,0.05,5,5,0.23,0.23,0.24,16.0,16.0,16.0
12,10,120,1,0.1,5,5,0.26,0.26,0.31,18.0,16.0,19.0
12,10,120,1,0.15,5,5,0.32,0.3,0.36,23.0,19.0,23.0
12,10,120,2,0.05,5,5,0.27,0.26,0.63,17.0,16.0,44.0
12,10,120,2,0.1,5,5,0.36,0.33,0.39,24.0,22.0,25.0
12,10,120,2,0.15,5,5,0.38,0.34,7.77,24.0,21.0,462.0
12,10,120,3,0.05,5,5,0.4,0.31,0.48,24.0,20.0,29.0
12,10,120,3,0.1,5,5,0.64,0.53,17.11,39.0,33.0,1040.0
12,10,120,3,0.15,5,5,1.86,0.53,10.57,113.0,32.0,623.0
12,10,120,4,0.05,5,5,3.93,3.74,10.37,258.0,229.0,637.0
12,10,120,4,0.1,5,5,7.37,0.87,19.93,455.0,52.0,1222.0
12,10,120,4,0.15,5,5,0.32,0.3,0.78,19.0,17.0,45.0
14,12,168,1,0.05,5,5,0.3,0.29,0.3,20.0,20.0,20.0
14,12,168,1,0.1,5,5,0.39,0.35,0.41,25.0,22.0,26.0
14,12,168,1,0.15,5,5,0.44,0.36,0.45,29.0,25.0,30.0
14,12,168,2,0.05,5,5,0.4,0.35,1.74,25.0,21.0,109.0
14,12,168,2,0.1,5,5,0.46,0.34,2.6,27.0,21.0,159.0
14,12,168,2,0.15,5,5,0.74,0.39,1.5,50.0,23.0,93.0
14,12,168,3,0.05,5,5,1.65,1.31,2.12,100.0,87.0,132.0
14,12,168,3,0.1,5,5,7.23,1.41,18.49,444.0,81.0,1110.0
14,12,168,3,0.15,5,5,0.7,0.66,0.7,42.0,39.0,43.0
14,12,168,4,0.05,5,5,6.6,3.16,7.82,397.0,182.0,485.0
14,12,168,4,0.1,5,5,13.74,3.59,38.76,848.0,207.0,2332.0
14,12,168,4,0.15,5,5,1.34,0.6,3.83,75.0,37.0,211.0
16,12,192,1,0.05,5,5,0.36,0.35,0.36,23.0,22.0,25.0
